,QQQ,SPY,TLT
2015-01-02,1.0,1.0,1.0
2015-01-05,0.9853315711285217,0.9819405864578167,1.0157088288239
2015-01-06,0.9721195482796058,0.9726914939130762,1.034009037998689
2015-01-07,0.9846512809820742,0.9848126027529954,1.0319667892992843
2015-01-08,1.0034972764619043,1.0022881236596703,1.0183003720010755
2015-01-09,0.9968912650374466,0.9942563261762387,1.029453646979096
2015-01-12,0.9864968732523791,0.9864672342952165,1.0353438064829126
2015-01-13,0.9862053663859298,0.9836928025142364,1.0353438064829126
2015-01-14,0.9807653018337207,0.977754139045376,1.0431983023080058
2015-01-15,0.9680392580848022,0.9687972618933369,1.0596138786287976
2015-01-16,0.9794052856956685,0.9815023530604137,1.0461046701102799
2015-01-20,0.9871768410246308,0.9835957561499322,1.060006127153164
2015-01-21,0.9922286058581352,0.9885607270763842,1.0477532862618824
2015-01-22,1.0105884610508702,1.0032615471271318,1.0439834506618848
2015-01-23,1.012823158975369,0.9977611170556744,1.0585138242366765
2015-01-26,1.0116572926966685,1.0000974948225496,1.05529377159331
2015-01-27,0.985428363980776,0.9869056470759177,1.0569436089420616
2015-01-28,0.9803770021150161,0.9742494378575893,1.0742225716474334
2015-01-29,0.9897998386678334,0.9832548381917805,1.067154038307652
2015-01-30,0.9821254791588705,0.9708903959079082,1.0860828383617755
2015-02-02,0.990674198080084,0.982914189308576,1.0819820583343083
2015-02-03,1.0001941498593516,0.9971284321630665,1.0590805411271114
2015-02-04,0.9993201128212968,0.9933314258909294,1.0608901110629962
2015-02-05,1.0079653828141182,1.0033587728747337,1.0492423326526383
2015-02-06,1.0018455116767555,1.0005843410937536,1.0306693894478312
2015-02-09,0.998640064455496,0.9961060370552077,1.0290162141602046
2015-02-10,1.0141831751134207,1.006717814824415,1.0208313437996446
2015-02-11,1.0178741984669328,1.0073020662265197,1.022719721658233
2015-02-12,1.029725882803601,1.016989033402067,1.0193361914231422
2015-02-13,1.0385661891848126,1.0211751220479115,1.008868985003618
2015-02-17,1.039537502636416,1.0227815891745768,0.9936794906207584
2015-02-18,1.0409944728138205,1.0228791736887757,0.9995819435092114
2015-02-19,1.0461432722802269,1.0221489939736184,0.9929711148610008
2015-02-20,1.053137664016938,1.0282822883209815,0.9958834258227353
2015-02-23,1.0542060926949917,1.0281362703162797,1.0072946176386952
2015-02-24,1.0549834174743409,1.0310570788685578,1.0205161935219726
2015-02-25,1.052360419831138,1.030180881148699,1.024923494033923
