Date,QQQ,SPY,TLT
2015-01-02,94.66507720947266,170.12496948242188,93.71207427978516
2015-01-05,93.2764892578125,167.0526123046875,95.1841812133789
2015-01-06,92.02577209472656,165.47911071777344,96.89913177490234
2015-01-07,93.21208953857422,167.5412139892578,96.70774841308594
2015-01-08,94.99614715576172,170.5142364501953,95.42704010009766
2015-01-09,94.37078857421875,169.1478271484375,96.47223663330078
2015-01-12,93.38680267333984,167.8227081298828,97.02421569824219
2015-01-13,93.35920715332031,167.3507080078125,97.02421569824219
2015-01-14,92.84422302246094,166.34039306640625,97.7602767944336
2015-01-15,91.63951110839844,164.8166046142578,99.29861450195312
2015-01-16,92.7154769897461,166.97805786132812,98.03263854980469
2015-01-20,93.451171875,167.33419799804688,99.33537292480469
2015-01-21,93.92939758300781,168.17886352539062,98.1871337890625
2015-01-22,95.66743469238281,170.67984008789062,97.83385467529297
2015-01-23,95.87898254394531,169.74407958984375,99.19552612304688
2015-01-26,95.76861572265625,170.1415557861328,98.89376831054688
2015-01-27,93.28565216064453,167.8972930908203,99.04837799072266
2015-01-28,92.80746459960938,165.74415588378906,100.6676254272461
2015-01-29,93.69947814941406,167.2761993408203,100.00521850585938
2015-01-30,92.97298431396484,165.17269897460938,101.7790756225586
2015-02-02,93.7822494506836,167.21824645996094,101.39478302001953
2015-02-03,94.68345642089844,169.63644409179688,99.2486343383789
2015-02-04,94.60071563720703,168.990478515625,99.418212890625
2015-02-05,95.41912078857422,170.69638061523438,98.32667541503906
2015-02-06,94.83978271484375,170.22438049316406,96.58616638183594
2015-02-09,94.53633880615234,169.46250915527344,96.43124389648438
2015-02-10,96.00772857666016,171.26783752441406,95.66422271728516
2015-02-11,96.35713958740234,171.3672332763672,95.8411865234375
2015-02-12,97.47908020019531,173.01522827148438,95.52410888671875
2015-02-13,98.31594848632812,173.72738647460938,94.54320526123047
2015-02-17,98.40789794921875,174.0006866455078,93.11976623535156
2015-02-18,98.54582214355469,174.0172882080078,93.67289733886719
2015-02-19,99.03323364257812,173.89306640625,93.05338287353516
2015-02-20,99.69535827636719,174.93649291992188,93.32630157470703
2015-02-23,99.79650115966797,174.91165161132812,94.39566802978516
2015-02-24,99.87008666992188,175.40855407714844,95.63468933105469
2015-02-25,99.62178039550781,175.25949096679688,96.0477066040039
2015-02-26,100.12757873535156,175.052490234375,94.73495483398438
2015-02-27,99.6861572265625,174.45616149902344,95.53146362304688
2015-03-02,100.58737182617188,175.5576629638672,93.75204467773438
2015-03-03,100.11840057373047,174.8371124267578,93.41213989257812
2015-03-04,99.73212432861328,174.10012817382812,93.44168853759766
2015-03-05,99.90687561035156,174.2905731201172,93.32347106933594
2015-03-06,98.7757568359375,171.83929443359375,91.26175689697266
2015-03-09,99.06083679199219,172.55148315429688,92.10418701171875
2015-03-10,97.2215805053711,169.75233459472656,93.31604766845703
2015-03-11,96.6606216430664,169.3548583984375,93.99591064453125
2015-03-12,97.29518127441406,171.50799560546875,93.92945098876953
2015-03-13,96.87214660644531,170.45628356933594,93.6412124633789
2015-03-16,98.12284088134766,172.73362731933594,94.54267883300781
2015-03-17,98.27916717529297,172.2202606201172,95.3260498046875
2015-03-18,99.2447509765625,174.2905731201172,97.16604614257812
2015-03-19,99.39187622070312,173.4955596923828,96.67097473144531
2015-03-20,100.03523254394531,175.02699279785156,97.18086242675781
2015-03-23,99.84166717529297,174.68588256835938,97.06259155273438
2015-03-24,99.4822006225586,173.70437622070312,98.0010757446289
2015-03-25,97.20551300048828,171.15887451171875,97.17344665527344
2015-03-26,96.87371826171875,170.75131225585938,95.6585464477539
2015-03-27,97.26085662841797,171.1422576904297,96.84833526611328
2015-03-30,98.37614440917969,173.2301788330078,96.3679428100586
2015-03-31,97.3345947265625,171.71624755859375,96.57492065429688
2015-04-01,96.82762908935547,171.10897827148438,97.8433609008789
2015-04-02,96.89215850830078,171.72457885742188,96.806640625
2015-04-06,97.6848373413086,172.8807830810547,96.26608276367188
2015-04-07,97.51893615722656,172.4232940673828,97.0732192993164
2015-04-08,98.2931900024414,173.00558471679688,97.10282135009766
2015-04-09,98.91071319580078,173.77088928222656,95.843994140625
2015-04-10,99.3163070678711,174.71917724609375,95.98471069335938
2015-04-13,99.06741333007812,173.928955078125,96.11799621582031
2015-04-14,98.78170776367188,174.26168823242188,96.79924011230469
2015-04-15,99.39925384521484,175.04360961914062,96.71781158447266
2015-04-16,99.26097869873047,174.99368286132812,96.23646545410156
2015-04-17,97.7125015258789,172.98060607910156,97.33983612060547
2015-04-20,99.17807006835938,174.56114196777344,96.4808349609375
2015-04-21,99.6020278930664,174.3531951904297,96.04395294189453
2015-04-22,100.14584350585938,175.20997619628906,94.57772064208984
2015-04-23,100.52373504638672,175.65084838867188,94.98501586914062
2015-04-24,101.88790893554688,176.05841064453125,95.577392578125
2015-04-27,101.62983703613281,175.32643127441406,95.577392578125
2015-04-28,101.42705535888672,175.8837432861328,94.25933074951172
2015-04-29,100.79107666015625,175.16006469726562,93.10409545898438
2015-04-30,99.20570373535156,173.4049072265625,93.26699829101562
2015-05-01,100.51457214355469,175.2847900390625,92.01152801513672
2015-05-04,100.68045043945312,175.78392028808594,91.14340209960938
2015-05-05,99.0397720336914,173.77088928222656,91.01716613769531
2015-05-06,98.35769653320312,173.0554656982422,89.45893859863281
2015-05-07,98.94760131835938,173.74588012695312,90.66102600097656
2015-05-08,100.18270874023438,176.03353881835938,90.9059066772461
2015-05-11,99.79558563232422,175.19332885742188,88.69464111328125
2015-05-12,99.34395599365234,174.66928100585938,88.92467498779297
2015-05-13,99.54673767089844,174.70254516601562,88.21234893798828
2015-05-14,101.0030746459961,176.52432250976562,88.44978332519531
2015-05-15,101.0030746459961,176.715576171875,90.2231674194336
2015-05-18,101.44550323486328,177.26463317871094,88.70950317382812
2015-05-19,101.33489227294922,177.20639038085938,87.92289733886719
2015-05-20,101.39942169189453,177.0815887451172,88.07136535644531
2015-05-21,101.92478942871094,177.59730529785156,89.30310821533203
2015-05-22,101.82341003417969,177.173095703125,89.34020233154297
2015-05-26,100.65280151367188,175.26820373535156,90.8687744140625
2015-05-27,102.27506256103516,176.93185424804688,91.07654571533203
2015-05-28,102.04459381103516,176.7322540283203,90.85394287109375
2015-05-29,101.4362564086914,175.6342315673828,91.05427551269531
2015-06-01,101.77729034423828,175.99191284179688,90.07569885253906
2015-06-02,101.4547348022461,175.81719970703125,88.81898498535156
2015-06-03,101.75889587402344,176.28305053710938,87.39117431640625
2015-06-04,100.984619140625,174.79405212402344,88.5289306640625
2015-06-05,100.74500274658203,174.4945526123047,87.4507064819336
