,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2015-01-02,1.0,1.0,1.0,1.0,1.0
2015-01-05,0.9853315711285217,0.9836360787931692,0.9954478834042501,0.9856112968952243,1.000637472029067
2015-01-06,0.9721195482796058,0.9724089031879761,0.9969961567636081,0.972686004366085,1.0064032165861663
2015-01-07,0.9846512809820742,0.9847354282773718,1.0036628861627575,0.9850904371096071,1.0109027477218846
2015-01-08,1.0034972764619043,1.0028963070190424,1.0090322633247433,1.0036475752084106,1.0115032064927063
2015-01-09,0.9968912650374466,0.9955769438256552,1.0086014636605,0.9972030168642825,1.0140189744823471
2015-01-12,0.9864968732523791,0.9864868811610761,1.0061689202441226,0.9869567814406572,1.0136800383568632
2015-01-13,0.9862053663859298,0.9849538856853456,1.0044710146681584,0.9866660781908327,1.0124108841642636
2015-01-14,0.9807653018337207,0.9792641667073319,1.0038806657778374,0.9813431784113781,1.0139343008304933
2015-01-15,0.9680392580848022,0.9684255289128113,1.004681690180703,0.9688739964024496,1.0186135370330116
2015-01-16,0.9794052856956685,0.9804609184526636,1.0074635569705848,0.9800303874691874,1.0173870385712205
2015-01-20,0.9871768410246308,0.9853964752560878,1.0141080072122268,0.9878515858175692,1.0258481194256708
2015-01-21,0.9922286058581352,0.9904048325399667,1.012490483346543,0.9927537457136915,1.0215962782084493
2015-01-22,1.0105884610508702,1.0069320087102593,1.0200673062995835,1.0109169588665794,1.0263497137847581
2015-01-23,1.012823158975369,1.0052850381680198,1.02239076675227,1.0132567634912002,1.0317561491001406
2015-01-26,1.0116572926966685,1.0058834415816658,1.0225831315967464,1.0120751228628166,1.0310922118179486
2015-01-27,0.985428363980776,0.9862097418409888,1.0151295431651919,0.9861029495873809,1.0258932809477936
2015-01-28,0.9803770021150161,0.9773584157958819,1.013956803211222,0.9812394008537564,1.029314535509125
2015-01-29,0.9897998386678334,0.986572396556103,1.0169114721188908,0.9905227047137642,1.0298137837549806
2015-01-30,0.9821254791588705,0.9765446483889726,1.0164539132747692,0.9830738539088756,1.0341504863321822
2015-02-02,0.990674198080084,0.9868416278919039,1.0224716011736152,0.9915194527998298,1.0377015296506722
2015-02-03,1.0001941498593516,0.9987187085210107,1.022686617192475,1.0007675345934512,1.0322360660723824
2015-02-04,0.9993201128212968,0.9963808036966422,1.0210489735606862,0.9999149095530394,1.031461820298968
2015-02-05,1.0079653828141182,1.0057197892024197,1.022749120318644,1.0083840435703415,1.029839723505083
2015-02-06,1.0018455116767555,1.0012761905390242,1.0138106993208353,1.0021550832554997,1.0184727180807032
2015-02-09,0.998640064455496,0.9974336774413137,1.0104377449604571,0.9989625860496415,1.015535194697706
2015-02-10,1.0141831751134207,1.0105088052338964,1.013681580936266,1.0142890131094053,1.015901325371329
2015-02-11,1.0178741984669328,1.0126408564073457,1.0147846174093293,1.0179613530859697,1.0172092938502286
2015-02-12,1.029725882803601,1.0234053856764411,1.0192970611817107,1.0296712164666322,1.0197168729102186
2015-02-13,1.0385661891848126,1.0299046574827917,1.0176276926530103,1.0383274687750188,1.0158012734882897
2015-02-17,1.039537502636416,1.0311963639041912,1.0124596784690387,1.0391448134349188,1.0080480671637255
2015-02-18,1.0409944728138205,1.0319681973934836,1.0149232411407383,1.0406440692039491,1.0114073854969559
2015-02-19,1.0461432722802269,1.034151941024782,1.011803625003232,1.0456752123244295,1.0073907092213137
2015-02-20,1.053137664016938,1.0407117089386575,1.0166333739813178,1.052629514976683,1.0117259440127124
2015-02-23,1.0542060926949917,1.0411657285881082,1.021206336564199,1.0537986675553075,1.018080497697823
2015-02-24,1.0549834174743409,1.0430284951044229,1.028308680927609,1.054698523730186,1.0267656707409336
2015-02-25,1.052360419831138,1.0412886724552277,1.0295607452199491,1.052144124892434,1.0288282177601407
2015-02-26,1.0577034497504456,1.0433171425355203,1.0232024373088704,1.057298188104532,1.020511341704553
2015-02-27,1.053040468196939,1.0392402964718699,1.0245522065822223,1.0527636052616995,1.0237072224160617
2015-03-02,1.0625605005697556,1.0472187700169109,1.020800030383532,1.0620085630767935,1.0160421240184614
2015-03-03,1.057606495711093,1.0426284541713842,1.0168058028845863,1.0570677799386776,1.0121403816939887
2015-03-04,1.0535260443291916,1.038419646476512,1.014362797764217,1.053030123380485,1.0104133228020935
2015-03-05,1.0553720395672412,1.0398973634612854,1.014515226308301,1.0548452449077348,1.0102001519160986
2015-03-06,1.0434234011912205,1.0266979188155965,0.9969890246641057,1.0427949895959647,0.9915073721777683
2015-03-09,1.0464348597402255,1.0303070891554662,1.003149490907579,1.045867020675158,0.9984064797176555
2015-03-10,1.0270057699339472,1.0123853901671611,0.9986651470704271,1.0267583886374516,0.9984436140846759
2015-03-11,1.0210800486559366,1.0082794551075467,1.0001724666221739,1.020961104545828,1.0014214546619522
2015-03-12,1.0277832559003939,1.0179985539761627,1.0075191707620674,1.027599045942267,1.0067048900242208
2015-03-13,1.0233145047997885,1.0126641923452877,1.002575520386589,1.0231419997506748,1.0022413485071813
2015-03-16,1.0365262858680573,1.0259660697942166,1.0144729769645282,1.0363206742517044,1.013559676340926
2015-03-17,1.038177647685461,1.0252587460121594,1.016026288190789,1.0380327581831583,1.0168702383454546
2015-03-18,1.0483776478305293,1.0364577572722553,1.0311992569763033,1.0483243298632945,1.0331893093571085
2015-03-19,1.0499318138279339,1.0348621426461881,1.0262753856951075,1.0498098604730992,1.0281803253835426
2015-03-20,1.056727945434298,1.042778763692984,1.0338759236299302,1.0565952770907516,1.0352306585455384
2015-03-23,1.0546832065046075,1.040753753732446,1.0321636724124605,1.0545578300629814,1.0336325145399952
2015-03-24,1.0508859608536167,1.03595636855007,1.0326759625687214,1.050889486972986,1.036574703669111
2015-03-25,1.026836039919918,1.0165116777840129,1.0201077061033603,1.0269865909904,1.0249348297014504
2015-03-26,1.023331107070866,1.0135665765265058,1.0122890126969395,1.0233657548145536,1.01499905070757
2015-03-27,1.027420665523795,1.016752155582972,1.018715919498744,1.0275344440157161,1.0230271857160105
2015-03-30,1.039202072285803,1.0287838365675948,1.0241516322318167,1.0391609163807847,1.0257894247196344
2015-03-31,1.0281996021741224,1.0188422656632115,1.0196612014805673,1.028283165083179,1.0230037644141943
2015-04-01,1.0228442414418302,1.0143874017204857,1.0228545996622675,1.0231037776062326,1.0288236060719116
2015-04-02,1.023525901678609,1.016550150024573,1.0207274106175233,1.023680728319868,1.0244376045822063
2015-04-06,1.0318994102244667,1.0241305345185872,1.0225710304803368,1.0319235729050935,1.0243527788347422
2015-04-07,1.0301469035031663,1.0219058159045264,1.0243769032019208,1.0302669657124413,1.0278980705423424
2015-04-08,1.0383257786283784,1.02768807721109,1.026577508633077,1.0383703909816842,1.0296281877252766
2015-04-09,1.0448490204780938,1.0331893144202084,1.0239788370167362,1.0447069215688078,1.0242758557577702
2015-04-10,1.0491335347258646,1.0381267827718492,1.0279329754748594,1.0489663196865173,1.0276018111514111
2015-04-13,1.0465043313793947,1.034478346291061,1.0257144463257133,1.046373973426996,1.026319674413279
2015-04-14,1.043486264159378,1.0339761534001972,1.029799719248865,1.0434567664638799,1.0312156171011457
2015-04-15,1.05000974778974,1.0395279211669393,1.0322256673488264,1.0499100140031798,1.0328039150238364
2015-04-16,1.048549070309085,1.038656623595501,1.0299941413742264,1.0484153363805009,1.0298255222427872
2015-04-17,1.0321916424328563,1.0245808681405744,1.027608525315085,1.0323266034282261,1.031065943856978
2015-04-20,1.0476732602129537,1.0369454343610567,1.0296147624510452,1.0475775121998152,1.0302442092205637
2015-04-21,1.0521517631329789,1.0385441235797517,1.027013932443819,1.051965877470305,1.0271221137344189
2015-04-22,1.0578963907065626,1.0439310202147778,1.0237705474081809,1.0575065753043513,1.0206967382177872
2015-04-23,1.061888269778199,1.0472140071836646,1.0270797163149201,1.0615012722074932,1.024278383303684
2015-04-24,1.0762987992931283,1.0555346263086507,1.0310717592788539,1.075825736493206,1.028892121637956
2015-04-27,1.0735726419073057,1.0520036022543984,1.0284996926988832,1.0731248416175938,1.026984702321828
2015-04-28,1.0714305459705182,1.0526260801820622,1.0247878567795072,1.0708700297409688,1.0205949231678764
2015-04-29,1.0647123483259613,1.0471604064921103,1.0172340565172582,1.064097457121846,1.01179309159459
2015-04-30,1.047965170047148,1.033678423296167,1.0118301941600347,1.0475370259954033,1.0082382034596884
2015-05-01,1.0617914769259442,1.0461003853152133,1.0129636331521876,1.061096596228885,1.00560905532098
2015-05-04,1.063543741866598,1.0484529760945607,1.0108713929346869,1.0627393700126664,1.0016338639405795
2015-05-05,1.0462123409516517,1.0339069312119737,1.0033656205103678,1.0455719230023202,0.9957377871368507
2015-05-06,1.0390071970845105,1.0282184085532933,0.9940159681728782,1.0382738752838718,0.984467268902068
2015-05-07,1.0452386902871296,1.0333528693616159,1.0017381373404726,1.0445712299930452,0.9935461703735777
2015-05-08,1.0582858187349518,1.0466051716450657,1.0107341856140863,1.057515638267763,1.0008711741747796
2015-05-11,1.0541964214691202,1.0420853121890883,0.9980052866372362,1.0532275666009705,0.9852632711620257
2015-05-12,1.0494256057471563,1.0381687377827826,0.9972494640326623,1.0485319272800766,0.9853597454801212
2015-05-13,1.051567701683944,1.0393271517967773,0.9941680501947451,1.0505729273647753,0.9810770075678916
2015-05-14,1.0669518012698462,1.0523486538290123,1.0014586600770785,1.0658228429002157,0.9871122645406486
