Date,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2015-01-05,-0.014668428871478345,-0.016363921206830834,-0.004552116595749988,-0.014388703104775679,0.0006374720290669277
2015-01-06,-0.013408707521452734,-0.011413952626633805,0.00155535350988274,-0.01311398577700487,0.005762071397753808
2015-01-07,0.012891143609493616,0.012676277488805399,0.006686815544796597,0.012752761618695598,0.004470902975629669
2015-01-08,0.01913976637600423,0.018442393987428862,0.0053497815212777845,0.01883800451180173,0.0005939827269979946
2015-01-09,-0.006582988892355535,-0.007298225292246774,-0.0004269433990382824,-0.0064211367648549025,0.0024871577010259632
2015-01-12,-0.010426805961307184,-0.009130447145199116,-0.002411798419912081,-0.01027497435361226,-0.0003342502793471417
2015-01-13,-0.0002954969998923973,-0.0015539947920302777,-0.0016874955505008949,-0.0002945450654891862,-0.0012520264231075822
2015-01-14,-0.005516157929808196,-0.005776634886875687,-0.0005877211803029022,-0.005394834075186581,0.0015047414938522963
2015-01-15,-0.012975625998518536,-0.011068145004186403,0.0007979279113268243,-0.012706240062843124,0.004614930374370191
2015-01-16,0.011741287882635287,0.012427790450096454,0.0027689036408949704,0.011514800797795046,-0.0012040861594708836
2015-01-20,0.007934973848382043,0.00503391487670235,0.006595226393718567,0.00798056718279839,0.008316481863512554
2015-01-21,0.005117385886262316,0.005082580879515852,-0.0015950212937679178,0.004962445742358215,-0.004144708302045604
2015-01-22,0.01850365438401802,0.016687293546324145,0.007483352266183418,0.018295789093024758,0.0046529491910883595
2015-01-23,0.0022112838317736028,-0.0016356323247177507,0.0022777521035499686,0.002314536920266981,0.005267634650031256
2015-01-26,-0.0011511054702578738,0.0005952574552750556,0.00018815197743564643,-0.0011661808447369938,-0.0006435021325251595
2015-01-27,-0.02592669365924971,-0.019558627697202957,-0.007288980427357349,-0.025662297875645074,-0.005042158994672706
2015-01-28,-0.005126056901137099,-0.008975094921070126,-0.0011552613770979148,-0.00493209024033406,0.0033349029814979487
2015-01-29,0.009611441856029801,0.009427432773183808,0.002913998799861162,0.009460794024302933,0.00048502982191787674
2015-01-30,-0.007753445908105783,-0.010164229408946457,-0.00044994953510382133,-0.007520121214224158,0.004211152196262947
2015-02-02,0.008704304187826306,0.010544299761325204,0.0059202761878878185,0.008591011608510475,0.0034337781255456955
2015-02-03,0.009609568713626837,0.012035447526143273,0.00021029045561054074,0.009327181395692006,-0.005266893631861315
2015-02-04,-0.0008738673768264871,-0.0023409042049796214,-0.0016013152066899792,-0.0008519711231021852,-0.0007500665776582368
2015-02-05,0.008651151800011192,0.009372907899398819,0.0016650981510013098,0.008469854721026066,-0.0015726193272136571
2015-02-06,-0.006071509241990736,-0.0044183267656685565,-0.00873960272390537,-0.006177170646995865,-0.01103764514510278
2015-02-09,-0.003199542428347746,-0.0038376155690288405,-0.003327006079771966,-0.0031856319038839833,-0.002884243564749531
2015-02-10,0.015564277071538735,0.013108769122498254,0.0032103273971973764,0.015342343420859697,0.000360529773398793
2015-02-11,0.003639405034597809,0.0021098788673651336,0.0010881488761436131,0.003620605102786725,0.00128749559256815
2015-02-12,0.011643564945961415,0.010630155006075892,0.004446700999371966,0.011503249455555425,0.0024651554750335894
2015-02-13,0.008585106511203255,0.006350632796460087,-0.0016377644871898417,0.008406811970612245,-0.0038398888220353687
2015-02-17,0.0009352446302588469,0.0012541999999851061,-0.005078492086332975,0.0007871742629174413,-0.007632601500822593
2015-02-18,0.0014015561475266836,0.0007484835248741106,0.0024332452186390796,0.0014427784748060723,0.0033324981641820847
2015-02-19,0.004946039197008423,0.0021160958611071146,-0.0030737458864374513,0.004834643534103811,-0.003971373289575645
2015-02-20,0.0066858832074367935,0.0063431374575145805,0.0047734054896971575,0.0066505379206557805,0.004303429396078043
2015-02-23,0.0010145194826460813,0.00043625880784392557,0.004498143283426393,0.0011106971275173432,0.006280904154644068
2015-02-24,0.0007373556126601954,0.001789116242656985,0.006954857318360874,0.0008539165996157178,0.00853092959029298
2015-02-25,-0.002486292769873555,-0.0016680490105122625,0.0012175957624033897,-0.002421923213391789,0.0020087806575365564
2015-02-26,0.005077186312427928,0.001948038170347055,-0.0061757481922257275,0.0048986285150097965,-0.008083833541904875
2015-02-27,-0.004408590663675049,-0.003907580827956836,0.0013191615110906612,-0.00428884007733127,0.003131646441254408
2015-03-02,0.009040519011693116,0.007677217263540648,-0.0036622596433686376,0.008781608491106336,-0.007487588472326846
2015-03-03,-0.0046623273272496935,-0.004383339925670637,-0.003912840301782827,-0.0046523006592354265,-0.003840138348832802
2015-03-04,-0.0038581943269532237,-0.004036728211313845,-0.002402627043864913,-0.003819676121834782,-0.001706343233736677
2015-03-05,0.0017522065524493424,0.0014230441322903298,0.00015027024297440393,0.0017237128235446195,-0.00021097394619046782
2015-03-06,-0.011321731037066574,-0.012693026359596293,-0.01727544465544508,-0.011423718663891932,-0.018504035762491915
2015-03-09,0.002886132844602818,0.003515318647994592,0.00617907127468036,0.0029459588028738796,0.006958200950875369
2015-03-10,-0.01856693670459475,-0.017394521669258145,-0.004470264778876509,-0.018270613433599436,3.7193635833342176e-05
2015-03-11,-0.005769900668028072,-0.004055703588271231,0.0015093342910467824,-0.005646200854825043,0.00298248247098706
2015-03-12,0.006564820508716096,0.00963929079322512,0.007345437297134749,0.006501659433335529,0.005275935858646214
2015-03-13,-0.0043479508689705515,-0.005240048338025383,-0.004906755641919247,-0.004337339752495858,-0.004433813286565276
2015-03-16,0.01291077279399433,0.013135526613340831,0.01186689315269911,0.012880591847701479,0.011293016248634102
2015-03-17,0.001593169261521199,-0.0006894221971678327,0.001531150914348212,0.001652079297453351,0.0032662724078370334
2015-03-18,0.009824908259013831,0.010923107267951204,0.014933637999201999,0.009914496049382278,0.016048331828657458
2015-03-19,0.0014824486201328035,-0.0015394883340605903,-0.004774898011111484,0.0014170524974829173,-0.004848079561220594
2015-03-20,0.0064729266385272766,0.007649928160047059,0.007405943902352163,0.006463471980149305,0.006857097911658469
2015-03-23,-0.0019349719466822402,-0.0019419363253680988,-0.001656147684973619,-0.0019283135860498422,-0.0015437564492038237
2015-03-24,-0.003600366088671647,-0.004609529550262448,0.0004963264741371766,-0.0034785603837169843,0.002846455667491713
2015-03-25,-0.02288537655804579,-0.01876979702656001,-0.012170571332074175,-0.022745394524248678,-0.011229170388260126
2015-03-26,-0.003413332521251644,-0.002897262591146421,-0.007664576357615105,-0.003525689826538417,-0.009694059276700346
2015-03-27,0.003996319885784416,0.0031429401188257655,0.006348885270108752,0.004073508598026024,0.007909500016619893
2015-03-30,0.011466974684611664,0.011833445268403908,0.0053358474418925715,0.011314922271248782,0.002700064125559396
2015-03-31,-0.010587421258196672,-0.00966342058556463,-0.0043845370255027,-0.010467821803278564,-0.0027156258763357563
2015-04-01,-0.005208483567751165,-0.004372476577447326,0.003131822782963157,-0.005036927232517003,0.0056889738436591425
2015-04-02,0.00066643601162375,0.002132073308894755,-0.002079659264813083,0.0005639219854951092,-0.004263122914190436
2015-04-06,0.008181042152548335,0.007456970513290306,0.0018061823789941476,0.008052163489249626,-8.280225860967435e-05
2015-04-07,-0.0016983309651463774,-0.002172299857367721,0.001766012010662688,-0.0016053584162134676,0.003461006579816451
2015-04-08,0.007939523088793088,0.005658311379161063,0.002148238040390993,0.007865364550089422,0.001683160259286624
2015-04-09,0.006282461616557988,0.0053530223139764965,-0.002531393484161893,0.0061023798850168105,-0.005198315305771702
2015-04-10,0.004100606081642644,0.004778861223909914,0.0038615431444298572,0.004077122520939607,0.003247128568875944
2015-04-13,-0.0025060712096642845,-0.0035144421098997625,-0.002158243000348503,-0.002471334122811648,-0.001247698013197921
2015-04-14,-0.002883951006718233,-0.0004854551984236899,0.003982855986659617,-0.002787920033563149,0.004770387638398962
2015-04-15,0.006251623863604339,0.0053693383048391,0.002355747486249893,0.006184489618261073,0.0015402190350409669
2015-04-16,-0.0013911084956400588,-0.000838166588599365,-0.002161858637299274,-0.0014236245037609146,-0.0028837930779729995
2015-04-17,-0.015600059491166163,-0.013551885324912194,-0.002316145270456137,-0.015345762689640375,0.0012044968661188314
2015-04-20,0.014998782342015016,0.012067926119801453,0.0019523360175948577,0.014773336966172102,-0.0007969758300233774
2015-04-21,0.004274713395963525,0.0015417293579001456,-0.002526022452353671,0.00418906020736797,-0.0030304421594437403
2015-04-22,0.00545988494708971,0.00518696944378072,-0.003158073063254819,0.005266993875666572,-0.006255707506160443
2015-04-23,0.003773412128734277,0.0031448313205708622,0.0032323345451936714,0.003777467673893313,0.003509019821255302
2015-04-24,0.013570664565245805,0.007945481122204723,0.0038867897988064115,0.01349453331876241,0.004504379287387753
2015-04-27,-0.0025329001459567513,-0.003345247011555419,-0.002494556326292452,-0.002510531942111833,-0.0018538574414308298
2015-04-28,-0.0019952966880580902,0.0005917070305935246,-0.0036089810679823314,-0.002101164551578394,-0.006221883480353151
2015-04-29,-0.006270306246002666,-0.005192417129743221,-0.007371086817897821,-0.006324364704427342,-0.00862421649714439
2015-04-30,-0.015729298439287165,-0.012874802286601539,-0.005312309711419693,-0.015562889484986716,-0.003513453654144921
2015-05-01,0.013193479396051089,0.012017240312935606,0.0011201869628865149,0.012944239580073033,-0.0026076656584592475
2015-05-04,0.001650291021102257,0.0022489149343334347,-0.002065464296077613,0.001548184952830752,-0.003953018679939899
2015-05-05,-0.01629589854435931,-0.013873817151790868,-0.007425051768978119,-0.016153957870349362,-0.005886459130417999
2015-05-06,-0.006886884798727677,-0.005501967814464992,-0.009318290507834948,-0.0069799576269152135,-0.0113187612043829
2015-05-07,0.005997545753393174,0.004993550753041753,0.0077686570586873675,0.006065215410964296,0.009222146594711074
2015-05-08,0.01248243924479886,0.012824566202285781,0.008980439037189569,0.012392078111134734,0.007372585210053634
2015-05-11,-0.0038641709011275616,-0.004318590790902577,-0.012593715695008846,-0.004054854142692945,-0.015594317645947332
2015-05-12,-0.004525547255525009,-0.003758400929841421,-0.0007573332673622923,-0.004458333098940745,9.791729877611354e-05
2015-05-13,0.00204120799517038,0.0011158244048734556,-0.003089912754083368,0.0019465311752528336,-0.004346369873413856
2015-05-14,0.014629680581922377,0.012528780769100245,0.0073333777734109875,0.014515808601400807,0.006151664880739971
2015-05-15,0.0,0.0005417204252371466,0.00866991047290604,0.00018699038428206664,0.011580349905547661
2015-05-18,0.004380347731173906,0.003743678708595044,-0.004846550588988264,0.00418293460576089,-0.007897619830475426
2015-05-19,-0.0010903485949296243,-0.000709456356460858,-0.00374402265712448,-0.0011620367406146145,-0.00505612473106615
2015-05-20,0.0006367936798263862,-3.373954600932594e-05,0.00025288276585178077,0.0006456077864392507,0.0006222231203710383
2015-05-21,0.005181170938161506,0.0040467406695987584,0.00734168061269851,0.005261330940650516,0.00904514902729921
2015-05-22,-0.0009946490456296253,-0.001691626412742453,-0.0012670129951622756,-0.0009825456830876587,-0.0008344787621290641
2015-05-26,-0.011496457642843128,-0.011124022364492336,0.00039287412268109844,-0.01123023734829612,0.0046695125786784305
2015-05-27,0.016117395869432727,0.012804711407894187,0.006609815501233652,0.01598421731393059,0.005513101265169042
2015-05-28,-0.002253420767769909,-0.0016907699778310192,-0.0016545231901892831,-0.0022543906050434617,-0.001858210126617511
2015-05-29,-0.0059614858526485515,-0.006087200394924053,-0.0028457502938159735,-0.005885815474008454,-0.001552925040507713
2015-06-01,0.0033620516728538608,0.002699281990771296,-0.0030769644893746677,0.0032300625348453543,-0.00503781333780178
2015-06-02,-0.003169229018587738,-0.002080981450093833,-0.006176341375731043,-0.0032678258794373153,-0.008169184266257968
2015-06-03,0.0029979978004004426,0.0028238147625117005,-0.004840425810196215,0.002820596900889588,-0.007714923404225525
2015-06-04,-0.007608934105937881,-0.008027784066570565,0.00013966832649925376,-0.007417939462595039,0.003436670037010291
2015-06-05,-0.0023728008887103913,-0.002043121562949779,-0.005899802407433619,-0.0024634134398880854,-0.007507660863717196
2015-06-08,-0.0101558147313916,-0.008152627484971642,-0.004131912448647035,-0.010068904112504646,-0.0033633052887404435
2015-06-09,-0.0016640217009853409,-0.0009039839842768238,-0.0032531326251230563,-0.0017210153005160133,-0.0044487732802398205
2015-06-10,0.013702589923988873,0.012847792938536662,0.0036947561087667053,0.01349281082516844,0.0005120163903149597
2015-06-11,0.0014614677363533612,0.0023426467714886545,0.010348236335686734,0.001644518467487676,0.013080334011298213
2015-06-12,-0.008207815579676314,-0.007931307715729252,-0.004592879911069314,-0.008131188376049259,-0.003418386292468764
2015-06-15,-0.004965673141326232,-0.00462568853516826,-0.001926909963442247,-0.0049041027939958565,-0.0010224899500923465
2015-06-16,0.005452545937825848,0.005452223093017072,0.006420015868673001,0.0054750188758672606,0.0067916207259800555
2015-06-17,0.0027574394377061218,0.002187184673666187,-0.0021204494886428284,0.002659253243175951,-0.003553361800785209
2015-06-18,0.014573672417353745,0.012486577889656347,0.004276186200206488,0.014389748730309519,0.0019318534384974578
2015-06-19,-0.004944074069282656,-0.0046917797053568355,0.0024734645749084692,-0.0047785112177386405,0.0051262173501558424
2015-06-22,0.007370894922475335,0.006247129638595639,-0.00508858767272189,0.007111300500815198,-0.009005111923325265
2015-06-23,0.0008130704184330373,0.0007604462405664814,-0.001975467821514476,0.000749712625379761,-0.0030052760047905285
2015-06-24,-0.005144666203823589,-0.006203682970920443,-0.0009080289295929182,-0.005018292933016515,0.0015342331146383941
2015-06-25,-0.0019960854517282467,-0.0025181672704511215,-0.0032263102437085633,-0.002010847484124666,-0.003296215294755362
2015-06-26,-0.006636495454723557,-0.0034135398030101793,-0.004610724297673396,-0.006674670213757757,-0.006316702906951922
2015-06-29,-0.023611156457155835,-0.022290748677305128,-0.0019947177804437097,-0.023144138964109776,0.005285105983835699
2015-06-30,0.0035617610448843706,0.002827445045762156,-0.0015171881610855924,0.0034632439442611766,-0.0029008531123116974
2015-07-01,0.00793872143446328,0.007977230845745087,-0.000589776664866282,0.007739673747048132,-0.0038930514181450965
