,Max Sharpe Portfolio,Min Volatility Portfolio
2015-01-02,1.0,1.0
2015-01-05,0.9856112968952243,1.000637472029067
2015-01-06,0.972686004366085,1.0064032165861663
2015-01-07,0.9850904371096071,1.0109027477218846
2015-01-08,1.0036475752084106,1.0115032064927063
2015-01-09,0.9972030168642825,1.0140189744823471
2015-01-12,0.9869567814406572,1.0136800383568632
2015-01-13,0.9866660781908327,1.0124108841642636
2015-01-14,0.9813431784113781,1.0139343008304933
2015-01-15,0.9688739964024496,1.0186135370330116
2015-01-16,0.9800303874691874,1.0173870385712205
2015-01-20,0.9878515858175692,1.0258481194256708
2015-01-21,0.9927537457136915,1.0215962782084493
2015-01-22,1.0109169588665794,1.0263497137847581
2015-01-23,1.0132567634912002,1.0317561491001406
2015-01-26,1.0120751228628166,1.0310922118179486
2015-01-27,0.9861029495873809,1.0258932809477936
2015-01-28,0.9812394008537564,1.029314535509125
2015-01-29,0.9905227047137642,1.0298137837549806
2015-01-30,0.9830738539088756,1.0341504863321822
2015-02-02,0.9915194527998298,1.0377015296506722
2015-02-03,1.0007675345934512,1.0322360660723824
2015-02-04,0.9999149095530394,1.031461820298968
2015-02-05,1.0083840435703415,1.029839723505083
2015-02-06,1.0021550832554997,1.0184727180807032
2015-02-09,0.9989625860496415,1.015535194697706
2015-02-10,1.0142890131094053,1.015901325371329
2015-02-11,1.0179613530859697,1.0172092938502286
2015-02-12,1.0296712164666322,1.0197168729102186
2015-02-13,1.0383274687750188,1.0158012734882897
2015-02-17,1.0391448134349188,1.0080480671637255
2015-02-18,1.0406440692039491,1.0114073854969559
2015-02-19,1.0456752123244295,1.0073907092213137
2015-02-20,1.052629514976683,1.0117259440127124
2015-02-23,1.0537986675553075,1.018080497697823
2015-02-24,1.054698523730186,1.0267656707409336
2015-02-25,1.052144124892434,1.0288282177601407
2015-02-26,1.057298188104532,1.020511341704553
2015-02-27,1.0527636052616995,1.0237072224160617
2015-03-02,1.0620085630767935,1.0160421240184614
2015-03-03,1.0570677799386776,1.0121403816939887
2015-03-04,1.053030123380485,1.0104133228020935
2015-03-05,1.0548452449077348,1.0102001519160986
2015-03-06,1.0427949895959647,0.9915073721777683
2015-03-09,1.045867020675158,0.9984064797176555
2015-03-10,1.0267583886374516,0.9984436140846759
2015-03-11,1.020961104545828,1.0014214546619522
2015-03-12,1.027599045942267,1.0067048900242208
2015-03-13,1.0231419997506748,1.0022413485071813
2015-03-16,1.0363206742517044,1.013559676340926
2015-03-17,1.0380327581831583,1.0168702383454546
2015-03-18,1.0483243298632945,1.0331893093571085
2015-03-19,1.0498098604730992,1.0281803253835426
2015-03-20,1.0565952770907516,1.0352306585455384
2015-03-23,1.0545578300629814,1.0336325145399952
2015-03-24,1.050889486972986,1.036574703669111
2015-03-25,1.0269865909904001,1.0249348297014504
2015-03-26,1.0233657548145538,1.01499905070757
2015-03-27,1.0275344440157164,1.0230271857160105
2015-03-30,1.039160916380785,1.0257894247196344
2015-03-31,1.0282831650831792,1.0230037644141943
2015-04-01,1.0231037776062328,1.0288236060719116
2015-04-02,1.0236807283198681,1.0244376045822063
2015-04-06,1.0319235729050937,1.0243527788347422
2015-04-07,1.0302669657124415,1.0278980705423424
2015-04-08,1.0383703909816844,1.0296281877252766
2015-04-09,1.044706921568808,1.0242758557577702
2015-04-10,1.0489663196865175,1.0276018111514111
2015-04-13,1.0463739734269961,1.026319674413279
2015-04-14,1.04345676646388,1.0312156171011457
2015-04-15,1.04991001400318,1.0328039150238364
2015-04-16,1.048415336380501,1.0298255222427872
2015-04-17,1.0323266034282264,1.031065943856978
2015-04-20,1.0475775121998154,1.0302442092205637
2015-04-21,1.0519658774703051,1.0271221137344189
2015-04-22,1.0575065753043515,1.0206967382177872
2015-04-23,1.0615012722074935,1.024278383303684
2015-04-24,1.0758257364932062,1.028892121637956
2015-04-27,1.073124841617594,1.026984702321828
2015-04-28,1.070870029740969,1.0205949231678764
2015-04-29,1.0640974571218462,1.01179309159459
2015-04-30,1.0475370259954035,1.0082382034596884
2015-05-01,1.0610965962288852,1.00560905532098
2015-05-04,1.0627393700126666,1.0016338639405795
2015-05-05,1.0455719230023204,0.9957377871368507
2015-05-06,1.038273875283872,0.984467268902068
2015-05-07,1.0445712299930454,0.9935461703735777
2015-05-08,1.0575156382677633,1.0008711741747796
2015-05-11,1.0532275666009707,0.9852632711620257
2015-05-12,1.0485319272800768,0.9853597454801212
2015-05-13,1.0505729273647755,0.9810770075678916
2015-05-14,1.065822842900216,0.9871122645406486
2015-05-15,1.0660221415231865,0.9985433699600867
2015-05-18,1.0704812424294712,0.9906572540399002
2015-05-19,1.0692373038956293,0.985648367397739
2015-05-20,1.0699276118245755,0.9862616606004897
2015-05-21,1.0755568550729246,0.9951825443005327
2015-05-22,1.0745000713280575,0.9943520856028724
2015-05-26,1.0624331804962823,0.9989952251742301
2015-05-27,1.0794153433348654,1.004502787014036
2015-05-28,1.0769819195259116,1.002636209762991
2015-05-29,1.0706430026787386,1.0010791908863304
2015-06-01,1.0741012465298856,0.9960359407862874
2015-06-02,1.0705912706793395,0.9878991396501886
2015-06-03,1.073610977099537,0.9802775734566871
2015-06-04,1.0656469958650352,0.9836464640213388
2015-06-05,1.063021866733245,0.976261579959672
2015-06-08,1.0523184014876124,0.9729781142245996
2015-06-09,1.0505073454176377,0.9686495551877791
2015-06-10,1.0646816422998078,0.9691455196365065
2015-06-11,1.0664325309225648,0.9818222667389052
2015-06-12,1.0577611671232865,0.9784660189606443
2015-06-15,1.0525737976282168,0.9774655472897502
2015-06-16,1.0583366590384744,0.9841041225596548
2015-06-17,1.0611510442313945,0.9806072445625561
2015-06-18,1.0764207411227897,0.9825016340397799
2015-06-19,1.071277052536328,0.987538150962751
2015-06-22,1.0788952255765414,0.9786452593847776
2015-06-23,1.079704086948618,0.9757041602695465
2015-06-24,1.074285815559335,0.9772011179023226
2015-06-25,1.0721255906298865,0.9739800526314409
2015-06-26,1.0649695058847017,0.9678277100016707
2015-06-29,1.0403217036479668,0.9729427820231225
2015-06-30,1.0439245914882092,0.9701204179257895
2015-07-01,1.0520042272428483,0.966343689257012
2015-07-02,1.052325032152364,0.9677082535443294
2015-07-06,1.0500914191887638,0.9764080105201395
2015-07-07,1.0527936792199741,0.9842213107156298
2015-07-08,1.0347174094223472,0.9815534022749428
2015-07-09,1.033950171971357,0.971638129526858
2015-07-10,1.049446752440266,0.9685752400325094
2015-07-13,1.0676654232092841,0.9716939169852823
2015-07-14,1.0746487883609335,0.9753455444781295
2015-07-15,1.0759122795037677,0.9809242402513291
2015-07-16,1.0910414357827727,0.9881967011238393
2015-07-17,1.1070152198210508,0.9914155748030481
2015-07-20,1.1107354299734389,0.9893375500412311
2015-07-21,1.1101128523947659,0.9905616379209632
2015-07-22,1.0977293034399398,0.9931681993079361
2015-07-23,1.093799281555809,0.9975233555177238
2015-07-24,1.0832001555139712,0.9942731987022582
2015-07-27,1.0743693176297797,0.9946340547197214
2015-07-28,1.0834764640666996,0.9960683948224021
2015-07-29,1.0874985997362214,0.9970750253753438
2015-07-30,1.0926918894591746,1.0014396723439252
2015-07-31,1.0915113039755846,1.0048632849006423
2015-08-03,1.0882366120183495,1.0092057152192815
2015-08-04,1.0861279668483783,1.0038941464740063
2015-08-05,1.094356525162983,1.001206803853492
2015-08-06,1.0770668755880146,1.002455696220775
2015-08-07,1.0758453492843723,1.008876286113826
2015-08-10,1.087896619040615,1.0076331813369255
2015-08-11,1.0742462508990298,1.0124253343730452
2015-08-12,1.0778615927591122,1.009915329030209
2015-08-13,1.0760909433314891,1.007551151770722
2015-08-14,1.0777584859064548,1.0104945362709736
2015-08-17,1.086690615607178,1.0155459884733142
2015-08-18,1.081105732484508,1.0098050480420149
2015-08-19,1.074151383764053,1.011763030474279
2015-08-20,1.044784948745061,1.0079765403810408
2015-08-21,0.9995854907874173,0.9960924133744037
2015-08-24,0.9614766799437852,0.9771970924344078
2015-08-25,0.9577482353376399,0.9633849430712959
2015-08-26,1.0053544607544243,0.9696214420118988
2015-08-27,1.0305907756316088,0.9806383739436065
2015-08-28,1.0304259588929536,0.982261811866287
2015-08-31,1.0176940514961623,0.974535372931601
2015-09-01,0.9862529095407483,0.9654340705226848
2015-09-02,1.013725178868339,0.9690300496967397
2015-09-03,1.0088452989585839,0.9719479446118933
2015-09-04,0.9970379485870949,0.9702961429735022
2015-09-08,1.0247456387712301,0.9732631215576347
2015-09-09,1.0133849515977966,0.9700411388909633
2015-09-10,1.02424077095925,0.9687800187874669
2015-09-11,1.0299057952424424,0.9741253440897867
2015-09-14,1.026827295524813,0.973356761452453
2015-09-15,1.0386302668126626,0.9684619748327847
2015-09-16,1.044393783059727,0.9701819221278593
2015-09-17,1.0448967377172564,0.9757667576927431
