Date,Max Sharpe Portfolio,Min Volatility Portfolio
2015-01-05,-0.014388703104775677,0.0006374720290669277
2015-01-06,-0.013113985777004868,0.005762071397753808
2015-01-07,0.012752761618695596,0.004470902975629669
2015-01-08,0.01883800451180173,0.0005939827269979946
2015-01-09,-0.006421136764854901,0.0024871577010259632
2015-01-12,-0.010274974353612258,-0.0003342502793471417
2015-01-13,-0.00029454506548918613,-0.0012520264231075822
2015-01-14,-0.00539483407518658,0.0015047414938522963
2015-01-15,-0.012706240062843122,0.004614930374370191
2015-01-16,0.011514800797795044,-0.0012040861594708836
2015-01-20,0.00798056718279839,0.008316481863512554
2015-01-21,0.004962445742358214,-0.004144708302045604
2015-01-22,0.018295789093024754,0.0046529491910883595
2015-01-23,0.0023145369202669805,0.005267634650031256
2015-01-26,-0.0011661808447369938,-0.0006435021325251595
2015-01-27,-0.025662297875645074,-0.005042158994672706
2015-01-28,-0.00493209024033406,0.0033349029814979487
2015-01-29,0.009460794024302933,0.00048502982191787674
2015-01-30,-0.007520121214224157,0.004211152196262947
2015-02-02,0.008591011608510474,0.0034337781255456955
2015-02-03,0.009327181395692006,-0.005266893631861315
2015-02-04,-0.0008519711231021851,-0.0007500665776582368
2015-02-05,0.008469854721026066,-0.0015726193272136571
2015-02-06,-0.006177170646995865,-0.01103764514510278
2015-02-09,-0.003185631903883983,-0.002884243564749531
2015-02-10,0.015342343420859696,0.000360529773398793
2015-02-11,0.0036206051027867247,0.00128749559256815
2015-02-12,0.011503249455555423,0.0024651554750335894
2015-02-13,0.008406811970612245,-0.0038398888220353687
2015-02-17,0.0007871742629174412,-0.007632601500822593
2015-02-18,0.0014427784748060723,0.0033324981641820847
2015-02-19,0.004834643534103811,-0.003971373289575645
2015-02-20,0.00665053792065578,0.004303429396078043
2015-02-23,0.0011106971275173432,0.006280904154644068
2015-02-24,0.0008539165996157177,0.00853092959029298
2015-02-25,-0.002421923213391789,0.0020087806575365564
2015-02-26,0.004898628515009796,-0.008083833541904875
2015-02-27,-0.004288840077331269,0.003131646441254408
2015-03-02,0.008781608491106334,-0.007487588472326846
2015-03-03,-0.0046523006592354265,-0.003840138348832802
2015-03-04,-0.0038196761218347816,-0.001706343233736677
2015-03-05,0.0017237128235446195,-0.00021097394619046782
2015-03-06,-0.01142371866389193,-0.018504035762491915
2015-03-09,0.002945958802873879,0.006958200950875369
2015-03-10,-0.018270613433599432,3.7193635833342176e-05
2015-03-11,-0.005646200854825042,0.00298248247098706
2015-03-12,0.006501659433335528,0.005275935858646214
2015-03-13,-0.004337339752495857,-0.004433813286565276
2015-03-16,0.012880591847701479,0.011293016248634102
2015-03-17,0.0016520792974533509,0.0032662724078370334
2015-03-18,0.009914496049382276,0.016048331828657458
2015-03-19,0.0014170524974829173,-0.004848079561220594
2015-03-20,0.006463471980149304,0.006857097911658469
2015-03-23,-0.001928313586049842,-0.0015437564492038237
2015-03-24,-0.0034785603837169843,0.002846455667491713
2015-03-25,-0.022745394524248674,-0.011229170388260126
2015-03-26,-0.0035256898265384165,-0.009694059276700346
2015-03-27,0.004073508598026024,0.007909500016619893
2015-03-30,0.01131492227124878,0.002700064125559396
2015-03-31,-0.010467821803278562,-0.0027156258763357563
2015-04-01,-0.005036927232517002,0.0056889738436591425
2015-04-02,0.0005639219854951091,-0.004263122914190436
2015-04-06,0.008052163489249625,-8.280225860967435e-05
2015-04-07,-0.0016053584162134674,0.003461006579816451
2015-04-08,0.00786536455008942,0.001683160259286624
2015-04-09,0.00610237988501681,-0.005198315305771702
2015-04-10,0.004077122520939606,0.003247128568875944
2015-04-13,-0.002471334122811648,-0.001247698013197921
2015-04-14,-0.0027879200335631485,0.004770387638398962
2015-04-15,0.006184489618261072,0.0015402190350409669
2015-04-16,-0.0014236245037609143,-0.0028837930779729995
2015-04-17,-0.015345762689640373,0.0012044968661188314
2015-04-20,0.0147733369661721,-0.0007969758300233774
2015-04-21,0.00418906020736797,-0.0030304421594437403
2015-04-22,0.005266993875666572,-0.006255707506160443
2015-04-23,0.0037774676738933127,0.003509019821255302
2015-04-24,0.013494533318762408,0.004504379287387753
2015-04-27,-0.0025105319421118324,-0.0018538574414308298
2015-04-28,-0.002101164551578393,-0.006221883480353151
2015-04-29,-0.006324364704427341,-0.00862421649714439
2015-04-30,-0.015562889484986714,-0.003513453654144921
2015-05-01,0.012944239580073031,-0.0026076656584592475
2015-05-04,0.0015481849528307518,-0.003953018679939899
2015-05-05,-0.016153957870349362,-0.005886459130417999
2015-05-06,-0.006979957626915213,-0.0113187612043829
2015-05-07,0.006065215410964295,0.009222146594711074
2015-05-08,0.012392078111134732,0.007372585210053634
2015-05-11,-0.004054854142692945,-0.015594317645947332
2015-05-12,-0.004458333098940744,9.791729877611354e-05
2015-05-13,0.0019465311752528331,-0.004346369873413856
2015-05-14,0.014515808601400806,0.006151664880739971
2015-05-15,0.00018699038428206664,0.011580349905547661
2015-05-18,0.0041829346057608895,-0.007897619830475426
2015-05-19,-0.0011620367406146145,-0.00505612473106615
2015-05-20,0.0006456077864392507,0.0006222231203710383
2015-05-21,0.005261330940650515,0.00904514902729921
2015-05-22,-0.0009825456830876585,-0.0008344787621290641
2015-05-26,-0.01123023734829612,0.0046695125786784305
2015-05-27,0.015984217313930585,0.005513101265169042
2015-05-28,-0.0022543906050434613,-0.001858210126617511
2015-05-29,-0.005885815474008453,-0.001552925040507713
2015-06-01,0.003230062534845354,-0.00503781333780178
2015-06-02,-0.003267825879437315,-0.008169184266257968
2015-06-03,0.002820596900889588,-0.007714923404225525
2015-06-04,-0.007417939462595038,0.003436670037010291
