portfolio_id,annualized_return_%,annualized_volatility_%,sharpe_ratio,SPY_weight_%,QQQ_weight_%,TLT_weight_%
3040,6.6015,10.7171,0.3361,27.0545,14.8564,58.089
3041,14.2218,16.3476,0.6864,41.6936,43.735,14.5714
3042,15.2432,17.3851,0.7042,33.4452,54.9309,11.6238
3043,6.591,10.491,0.3423,36.9374,7.7119,55.3508
3044,9.4524,11.7669,0.5484,38.5946,21.3106,40.0949
3045,3.96,11.1478,0.0861,25.6282,2.2285,72.1432
3046,13.9489,16.111,0.6796,45.7047,39.4471,14.8482
3047,9.6978,11.9983,0.5582,52.6958,12.4625,34.8417
3048,17.3863,19.97,0.7204,32.7009,66.5402,0.7589
3049,2.5462,12.6066,-0.036,10.6417,5.6736,83.6847
3050,7.8451,11.165,0.434,20.0143,26.3337,53.652
3051,2.8335,12.781,-0.013,3.6725,12.1578,84.1696
3052,10.2363,12.4483,0.5813,53.0178,15.0142,31.968
3053,14.7465,16.6845,0.704,24.4305,58.8312,16.7383
3054,10.4271,12.5325,0.5926,43.8507,22.577,33.5723
3055,7.6405,10.8232,0.4287,34.4654,14.909,50.6256
3056,11.245,13.1948,0.6249,34.7872,33.3059,31.907
3057,15.3204,17.5837,0.7007,39.3379,51.1026,9.5595
3058,7.7229,11.3855,0.4148,10.2356,32.7176,57.0467
3059,14.0467,16.3852,0.6742,53.4722,34.3803,12.1475
3060,14.6449,16.4352,0.7085,6.8263,70.9355,22.2383
3061,11.4626,14.0658,0.6016,75.6761,5.0966,19.2273
3062,11.7463,13.9878,0.6253,59.6719,18.044,22.2841
3063,11.5408,14.2678,0.5986,79.9554,2.4306,17.614
3064,2.7843,12.3542,-0.0175,12.5668,5.5231,81.9101
3065,9.779,12.0512,0.5625,51.2309,13.9328,34.8363
3066,12.1477,14.3691,0.6366,57.804,21.4588,20.7372
3067,15.1547,18.1576,0.6694,70.0042,28.2459,1.7499
3068,10.184,12.6971,0.5658,71.4264,1.5377,27.0359
3069,4.2061,11.5943,0.104,12.8916,12.6379,74.4705
3070,16.566,18.6124,0.7289,10.1819,78.4559,11.3622
3071,9.2892,11.697,0.5377,30.3833,26.3578,43.2589
3072,16.7477,19.0623,0.7212,26.4791,67.7036,5.8173
3073,7.5185,10.6683,0.4235,43.3831,7.8813,48.7356
3074,10.6167,12.6704,0.6011,39.784,26.4741,33.7419
3075,8.3965,11.0894,0.4866,43.6166,12.2512,44.1322
3076,14.6061,17.6184,0.6587,74.2733,22.3481,3.3786
3077,9.1993,11.6307,0.533,54.6481,8.4859,36.8659
3078,17.5332,19.8279,0.733,14.702,80.2118,5.0863
3079,11.0231,13.0065,0.6169,36.5942,30.8628,32.5429
3080,13.0789,15.611,0.6456,67.2348,19.5055,13.2597
3081,6.7934,11.5497,0.3284,1.9809,33.8358,64.1834
3082,13.3483,16.6675,0.6209,90.8386,3.9642,5.1972
3083,15.6892,17.5969,0.7211,9.5114,74.406,16.0825
3084,8.1375,10.956,0.4689,42.6698,11.5916,45.7386
3085,16.5247,18.482,0.7318,1.0929,84.7631,14.144
3086,13.8403,17.1799,0.631,88.7457,8.0083,3.2459
3087,11.826,14.5532,0.6065,79.2344,4.422,16.3436
3088,10.0714,12.3377,0.5732,55.7457,12.2054,32.0489
