,Strategy A,Strategy B,Strategy C
2015-01-02,1.0,1.0,1.0
2015-01-05,0.9853315711285217,0.9836360787931692,0.9954478834042501
2015-01-06,0.9721195482796058,0.9724089031879761,0.9969961567636081
2015-01-07,0.9846512809820742,0.9847354282773718,1.0036628861627575
2015-01-08,1.0034972764619043,1.0028963070190424,1.0090322633247433
2015-01-09,0.9968912650374466,0.9955769438256552,1.0086014636605
2015-01-12,0.9864968732523791,0.9864868811610761,1.0061689202441226
2015-01-13,0.9862053663859298,0.9849538856853456,1.0044710146681584
2015-01-14,0.9807653018337207,0.9792641667073319,1.0038806657778374
2015-01-15,0.9680392580848022,0.9684255289128113,1.004681690180703
2015-01-16,0.9794052856956685,0.9804609184526636,1.0074635569705848
2015-01-20,0.9871768410246308,0.9853964752560878,1.0141080072122268
2015-01-21,0.9922286058581352,0.9904048325399667,1.012490483346543
2015-01-22,1.0105884610508702,1.0069320087102593,1.0200673062995835
2015-01-23,1.012823158975369,1.0052850381680198,1.02239076675227
2015-01-26,1.0116572926966685,1.0058834415816658,1.0225831315967464
2015-01-27,0.985428363980776,0.9862097418409888,1.0151295431651919
2015-01-28,0.9803770021150161,0.9773584157958819,1.013956803211222
2015-01-29,0.9897998386678334,0.986572396556103,1.0169114721188908
2015-01-30,0.9821254791588705,0.9765446483889726,1.0164539132747692
2015-02-02,0.990674198080084,0.9868416278919039,1.0224716011736152
2015-02-03,1.0001941498593516,0.9987187085210107,1.022686617192475
2015-02-04,0.9993201128212968,0.9963808036966422,1.0210489735606862
2015-02-05,1.0079653828141182,1.0057197892024197,1.022749120318644
2015-02-06,1.0018455116767555,1.0012761905390242,1.0138106993208353
2015-02-09,0.998640064455496,0.9974336774413137,1.0104377449604571
2015-02-10,1.0141831751134207,1.0105088052338964,1.013681580936266
2015-02-11,1.0178741984669328,1.0126408564073457,1.0147846174093293
2015-02-12,1.029725882803601,1.0234053856764411,1.0192970611817107
2015-02-13,1.0385661891848126,1.0299046574827917,1.0176276926530103
2015-02-17,1.039537502636416,1.0311963639041912,1.0124596784690387
2015-02-18,1.0409944728138205,1.0319681973934836,1.0149232411407383
2015-02-19,1.0461432722802269,1.034151941024782,1.011803625003232
2015-02-20,1.053137664016938,1.0407117089386575,1.0166333739813178
