Date,Strategy A,Strategy B,Strategy C
2015-01-05,-0.014668428871478345,-0.016363921206830834,-0.004552116595749988
2015-01-06,-0.013408707521452734,-0.011413952626633805,0.00155535350988274
2015-01-07,0.012891143609493616,0.012676277488805399,0.006686815544796597
2015-01-08,0.01913976637600423,0.018442393987428862,0.0053497815212777845
2015-01-09,-0.006582988892355535,-0.007298225292246774,-0.0004269433990382824
2015-01-12,-0.010426805961307184,-0.009130447145199116,-0.002411798419912081
2015-01-13,-0.0002954969998923973,-0.0015539947920302777,-0.0016874955505008949
2015-01-14,-0.005516157929808196,-0.005776634886875687,-0.0005877211803029022
2015-01-15,-0.012975625998518536,-0.011068145004186403,0.0007979279113268243
2015-01-16,0.011741287882635287,0.012427790450096454,0.0027689036408949704
2015-01-20,0.007934973848382043,0.00503391487670235,0.006595226393718567
2015-01-21,0.005117385886262316,0.005082580879515852,-0.0015950212937679178
2015-01-22,0.01850365438401802,0.016687293546324145,0.007483352266183418
2015-01-23,0.0022112838317736028,-0.0016356323247177507,0.0022777521035499686
2015-01-26,-0.0011511054702578738,0.0005952574552750556,0.00018815197743564643
2015-01-27,-0.02592669365924971,-0.019558627697202957,-0.007288980427357349
2015-01-28,-0.005126056901137099,-0.008975094921070126,-0.0011552613770979148
2015-01-29,0.009611441856029801,0.009427432773183808,0.002913998799861162
2015-01-30,-0.007753445908105783,-0.010164229408946457,-0.00044994953510382133
2015-02-02,0.008704304187826306,0.010544299761325204,0.0059202761878878185
2015-02-03,0.009609568713626837,0.012035447526143273,0.00021029045561054074
2015-02-04,-0.0008738673768264871,-0.0023409042049796214,-0.0016013152066899792
2015-02-05,0.008651151800011192,0.009372907899398819,0.0016650981510013098
2015-02-06,-0.006071509241990736,-0.0044183267656685565,-0.00873960272390537
2015-02-09,-0.003199542428347746,-0.0038376155690288405,-0.003327006079771966
2015-02-10,0.015564277071538735,0.013108769122498254,0.0032103273971973764
2015-02-11,0.003639405034597809,0.0021098788673651336,0.0010881488761436131
2015-02-12,0.011643564945961415,0.010630155006075892,0.004446700999371966
2015-02-13,0.008585106511203255,0.006350632796460087,-0.0016377644871898417
2015-02-17,0.0009352446302588469,0.0012541999999851061,-0.005078492086332975
2015-02-18,0.0014015561475266836,0.0007484835248741106,0.0024332452186390796
2015-02-19,0.004946039197008423,0.0021160958611071146,-0.0030737458864374513
2015-02-20,0.0066858832074367935,0.0063431374575145805,0.0047734054896971575
2015-02-23,0.0010145194826460813,0.00043625880784392557,0.004498143283426393
2015-02-24,0.0007373556126601954,0.001789116242656985,0.006954857318360874
2015-02-25,-0.002486292769873555,-0.0016680490105122625,0.0012175957624033897
2015-02-26,0.005077186312427928,0.001948038170347055,-0.0061757481922257275
2015-02-27,-0.004408590663675049,-0.003907580827956836,0.0013191615110906612
2015-03-02,0.009040519011693116,0.007677217263540648,-0.0036622596433686376
2015-03-03,-0.0046623273272496935,-0.004383339925670637,-0.003912840301782827
2015-03-04,-0.0038581943269532237,-0.004036728211313845,-0.002402627043864913
2015-03-05,0.0017522065524493424,0.0014230441322903298,0.00015027024297440393
2015-03-06,-0.011321731037066574,-0.012693026359596293,-0.01727544465544508
2015-03-09,0.002886132844602818,0.003515318647994592,0.00617907127468036
2015-03-10,-0.01856693670459475,-0.017394521669258145,-0.004470264778876509
2015-03-11,-0.005769900668028072,-0.004055703588271231,0.0015093342910467824
2015-03-12,0.006564820508716096,0.00963929079322512,0.007345437297134749
2015-03-13,-0.0043479508689705515,-0.005240048338025383,-0.004906755641919247
2015-03-16,0.01291077279399433,0.013135526613340831,0.01186689315269911
2015-03-17,0.001593169261521199,-0.0006894221971678327,0.001531150914348212
2015-03-18,0.009824908259013831,0.010923107267951204,0.014933637999201999
2015-03-19,0.0014824486201328035,-0.0015394883340605903,-0.004774898011111484
2015-03-20,0.0064729266385272766,0.007649928160047059,0.007405943902352163
2015-03-23,-0.0019349719466822402,-0.0019419363253680988,-0.001656147684973619
2015-03-24,-0.003600366088671647,-0.004609529550262448,0.0004963264741371766
2015-03-25,-0.02288537655804579,-0.01876979702656001,-0.012170571332074175
2015-03-26,-0.003413332521251644,-0.002897262591146421,-0.007664576357615105
2015-03-27,0.003996319885784416,0.0031429401188257655,0.006348885270108752
2015-03-30,0.011466974684611664,0.011833445268403908,0.0053358474418925715
2015-03-31,-0.010587421258196672,-0.00966342058556463,-0.0043845370255027
2015-04-01,-0.005208483567751165,-0.004372476577447326,0.003131822782963157
2015-04-02,0.00066643601162375,0.002132073308894755,-0.002079659264813083
2015-04-06,0.008181042152548335,0.007456970513290306,0.0018061823789941476
2015-04-07,-0.0016983309651463774,-0.002172299857367721,0.001766012010662688
2015-04-08,0.007939523088793088,0.005658311379161063,0.002148238040390993
2015-04-09,0.006282461616557988,0.0053530223139764965,-0.002531393484161893
2015-04-10,0.004100606081642644,0.004778861223909914,0.0038615431444298572
2015-04-13,-0.0025060712096642845,-0.0035144421098997625,-0.002158243000348503
2015-04-14,-0.002883951006718233,-0.0004854551984236899,0.003982855986659617
2015-04-15,0.006251623863604339,0.0053693383048391,0.002355747486249893
2015-04-16,-0.0013911084956400588,-0.000838166588599365,-0.002161858637299274
2015-04-17,-0.015600059491166163,-0.013551885324912194,-0.002316145270456137
2015-04-20,0.014998782342015016,0.012067926119801453,0.0019523360175948577
2015-04-21,0.004274713395963525,0.0015417293579001456,-0.002526022452353671
2015-04-22,0.00545988494708971,0.00518696944378072,-0.003158073063254819
2015-04-23,0.003773412128734277,0.0031448313205708622,0.0032323345451936714
2015-04-24,0.013570664565245805,0.007945481122204723,0.0038867897988064115
2015-04-27,-0.0025329001459567513,-0.003345247011555419,-0.002494556326292452
2015-04-28,-0.0019952966880580902,0.0005917070305935246,-0.0036089810679823314
2015-04-29,-0.006270306246002666,-0.005192417129743221,-0.007371086817897821
2015-04-30,-0.015729298439287165,-0.012874802286601539,-0.005312309711419693
2015-05-01,0.013193479396051089,0.012017240312935606,0.0011201869628865149
2015-05-04,0.001650291021102257,0.0022489149343334347,-0.002065464296077613
2015-05-05,-0.01629589854435931,-0.013873817151790868,-0.007425051768978119
2015-05-06,-0.006886884798727677,-0.005501967814464992,-0.009318290507834948
2015-05-07,0.005997545753393174,0.004993550753041753,0.0077686570586873675
2015-05-08,0.01248243924479886,0.012824566202285781,0.008980439037189569
2015-05-11,-0.0038641709011275616,-0.004318590790902577,-0.012593715695008846
2015-05-12,-0.004525547255525009,-0.003758400929841421,-0.0007573332673622923
2015-05-13,0.00204120799517038,0.0011158244048734556,-0.003089912754083368
2015-05-14,0.014629680581922377,0.012528780769100245,0.0073333777734109875
2015-05-15,0.0,0.0005417204252371466,0.00866991047290604
2015-05-18,0.004380347731173906,0.003743678708595044,-0.004846550588988264
2015-05-19,-0.0010903485949296243,-0.000709456356460858,-0.00374402265712448
2015-05-20,0.0006367936798263862,-3.373954600932594e-05,0.00025288276585178077
2015-05-21,0.005181170938161506,0.0040467406695987584,0.00734168061269851
2015-05-22,-0.0009946490456296253,-0.001691626412742453,-0.0012670129951622756
2015-05-26,-0.011496457642843128,-0.011124022364492336,0.00039287412268109844
2015-05-27,0.016117395869432727,0.012804711407894187,0.006609815501233652
2015-05-28,-0.002253420767769909,-0.0016907699778310192,-0.0016545231901892831
2015-05-29,-0.0059614858526485515,-0.006087200394924053,-0.0028457502938159735
2015-06-01,0.0033620516728538608,0.002699281990771296,-0.0030769644893746677
2015-06-02,-0.003169229018587738,-0.002080981450093833,-0.006176341375731043
2015-06-03,0.0029979978004004426,0.0028238147625117005,-0.004840425810196215
2015-06-04,-0.007608934105937881,-0.008027784066570565,0.00013966832649925376
2015-06-05,-0.0023728008887103913,-0.002043121562949779,-0.005899802407433619
2015-06-08,-0.0101558147313916,-0.008152627484971642,-0.004131912448647035
2015-06-09,-0.0016640217009853409,-0.0009039839842768238,-0.0032531326251230563
2015-06-10,0.013702589923988873,0.012847792938536662,0.0036947561087667053
2015-06-11,0.0014614677363533612,0.0023426467714886545,0.010348236335686734
2015-06-12,-0.008207815579676314,-0.007931307715729252,-0.004592879911069314
2015-06-15,-0.004965673141326232,-0.00462568853516826,-0.001926909963442247
2015-06-16,0.005452545937825848,0.005452223093017072,0.006420015868673001
2015-06-17,0.0027574394377061218,0.002187184673666187,-0.0021204494886428284
2015-06-18,0.014573672417353745,0.012486577889656347,0.004276186200206488
2015-06-19,-0.004944074069282656,-0.0046917797053568355,0.0024734645749084692
2015-06-22,0.007370894922475335,0.006247129638595639,-0.00508858767272189
2015-06-23,0.0008130704184330373,0.0007604462405664814,-0.001975467821514476
2015-06-24,-0.005144666203823589,-0.006203682970920443,-0.0009080289295929182
2015-06-25,-0.0019960854517282467,-0.0025181672704511215,-0.0032263102437085633
2015-06-26,-0.006636495454723557,-0.0034135398030101793,-0.004610724297673396
2015-06-29,-0.023611156457155835,-0.022290748677305128,-0.0019947177804437097
2015-06-30,0.0035617610448843706,0.002827445045762156,-0.0015171881610855924
2015-07-01,0.00793872143446328,0.007977230845745087,-0.000589776664866282
2015-07-02,0.00027785189797469023,-0.00031898040463268496,0.0007651393942002427
2015-07-06,-0.0023158348266306694,-0.002580885652857967,0.005706503593099854
2015-07-07,0.0025066955632002674,0.004397713624625266,0.007530805316985712
2015-07-08,-0.017412204513588936,-0.01709485396603111,-0.0066117918168963515
2015-07-09,-0.0005654452690780909,0.0006218893738852427,-0.006795364975389174
2015-07-10,0.015278853147874694,0.01393532941951059,0.0012119022606362322
2015-07-13,0.017556782605667065,0.014296759954072313,0.005381234316040029
2015-07-14,0.0065729171237214334,0.005455534108659066,0.003916580175205686
2015-07-15,0.0010884200480500983,0.00037815207764324565,0.004039602354024386
2015-07-16,0.01413317901136435,0.011078613442959129,0.007576732225708049
2015-07-17,0.01473968931823122,0.00779388116159474,0.002574510122162676
2015-07-20,0.0034336641731178563,0.001975686265486054,-0.0013740906162297505
2015-07-21,-0.0006141173226368313,-0.0022827951166742855,-0.00020544186701592065
2015-07-22,-0.011325015422178342,-0.006559637877335656,0.0014138136292260574
2015-07-23,-0.0037291281019115052,-0.004679585409104459,0.0016051755050051414
2015-07-24,-0.00980386167589442,-0.01008798512793041,-0.005232030265520704
2015-07-27,-0.008280940523959224,-0.007049107101968877,-0.0013487172400444836
2015-07-28,0.008621939940983703,0.010452535112687067,0.004452942587049957
2015-07-29,0.0037796479090994595,0.005329329375270975,0.002641595377522954
2015-07-30,0.004751226173631329,0.002494268035108105,0.0032243548473631645
2015-07-31,-0.0011596798638122685,-0.001338878254769138,0.002048982494954532
2015-08-03,-0.0031267819455581547,-0.0032498455348524136,0.0021869479376145366
2015-08-04,-0.0018814208342140537,-0.001917791092523935,-0.004345374249465239
2015-08-05,0.007720618272223589,0.0055079201959779,-0.0010250335392814058
2015-08-06,-0.016035904086655228,-0.012111719922604625,-0.001361400513663979
2015-08-07,-0.001267265264886408,-0.001593722406707354,0.004095024407499115
